Kasper Scmeichel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Venue,Result,Squad,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,Opposition XG,,,,,,,,,,,,,,,,,,,
26/12/2021,Away,W 3-1,Chelsea,Aston Villa,1,1,1,0,0,0,0.6,,,,,,,,,,,,,,,,,,,
29/12/2021,Home,D 1-1,Chelsea,Brighton,6,1,5,83.3,0,1.1,0.9,,,,,,,,,,,,,,,,,,,
02/01/2022,Home,D 2-2,Chelsea,Liverpool,5,2,3,60,0,1.2,1.4,,,,,,,,,,,,,,,,,,,
19/02/2022,Away,W 1-0,Chelsea,Crystal Palace,0,0,0,,1,0,0.6,,,,,,,,,,,,,,,,,,,
05/03/2022,Away,W 4-0,Chelsea,Burnley,0,0,0,,1,0,0.8,,,,,,,,,,,,,,,,,,,
10/03/2022,Away,W 3-1,Chelsea,Norwich City,2,1,2,100,0,1.8,1,,,,,,,,,,,,,,,,,,,
13/03/2022,Home,W 1-0,Chelsea,Newcastle Utd,2,0,2,100,1,0.1,0.2,,,,,,,,,,,,,,,,,,,
02/04/2022,Home,L 1-4,Chelsea,Brentford,6,4,2,33.3,0,3.1,2.1,,,,,,,,,,,,,,,,,,,
09/04/2022,Away,W 6-0,Chelsea,Southampton,1,0,1,100,1,0.6,0.5,,,,,,,,,,,,,,,,,,,
20/04/2022,Home,L 2-4,Chelsea,Arsenal,3,4,0,0,0,2.8,2.4,,,,,,,,,,,,,,,,,,,
24/04/2022,Home,W 1-0,Chelsea,West Ham,3,0,3,100,1,0.7,0.5,,,,,,,,,,,,,,,,,,,
28/04/2022,Away,D 1-1,Chelsea,Manchester Utd,3,1,2,66.7,0,0.6,0.6,,,,,,,,,,,,,,,,,,,
01/05/2022,Away,L 0-1,Chelsea,Everton,4,1,3,75,0,1.2,1.3,,,,,,,,,,,,,,,,,,,
07/05/2022,Home,D 2-2,Chelsea,Wolves,4,2,2,50,0,1.3,2.1,,,,,,,,,,,,,,,,,,,
11/05/2022,Away,W 3-0,Chelsea,Leeds United,0,0,0,,1,0,0.5,,,,,,,,,,,,,,,,,,,
19/05/2022,Home,D 1-1,Chelsea,Leicester City,1,1,0,0,0,0.2,0.1,,,,,,,,,,,,,,,,,,,
22/05/2022,Home,W 2-1,Chelsea,Watford,3,1,2,66.7,0,1.1,1,,,,,,,,,,,,,,,,,,,
,,,,Totals,95,31,70,72.90322581,14,29.7,33.4,,,,,,,,,,,,,,,,,,,
Illan Meslier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Venue,Result,Squad,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,Opposition xG,,,,,,,,,,,,,,,,,,,
14/08/2021,Away,L 1-5,Leeds United,Manchester Utd,8,5,3,37.5,0,1.9,1.5,,,,,,,,,,,,,,,,,,,
21/08/2021,Home,D 2-2,Leeds United,Everton,7,2,6,85.7,0,3,2,,,,,,,,,,,,,,,,,,,
29/08/2021,Away,D 1-1,Leeds United,Burnley,3,1,1,66.7,0,0.7,1.4,,,,,,,,,,,,,,,,,,,
12/09/2021,Home,L 0-3,Leeds United,Liverpool,8,3,5,62.5,0,2.4,4,,,,,,,,,,,,,,,,,,,
17/09/2021,Away,D 1-1,Leeds United,Newcastle Utd,7,1,6,85.7,0,1.5,1.3,,,,,,,,,,,,,,,,,,,
25/09/2021,Home,L 1-2,Leeds United,West Ham,6,2,5,66.7,0,2.3,1.8,,,,,,,,,,,,,,,,,,,
02/10/2021,Home,W 1-0,Leeds United,Watford,1,0,1,100,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
16/10/2021,Away,L 0-1,Leeds United,Southampton,4,1,3,75,0,1.1,2.3,,,,,,,,,,,,,,,,,,,
23/10/2021,Home,D 1-1,Leeds United,Wolves,4,1,3,75,0,0.9,1,,,,,,,,,,,,,,,,,,,
31/10/2021,Away,W 2-1,Leeds United,Norwich City,3,1,2,66.7,0,1.3,0.7,,,,,,,,,,,,,,,,,,,
07/11/2021,Home,D 1-1,Leeds United,Leicester City,3,1,2,66.7,0,1.8,1.1,,,,,,,,,,,,,,,,,,,
21/11/2021,Away,L 1-2,Leeds United,Tottenham,4,2,1,50,0,1.8,2,,,,,,,,,,,,,,,,,,,
27/11/2021,Away,D 0-0,Leeds United,Brighton,4,0,3,100,1,1.1,2.1,,,,,,,,,,,,,,,,,,,
